FID,OBJECTID,Match_addr,x,y,ICount,Region,Comuna,Calle_1,Calle_2,Numero,Accid_bici,Falle_bici,Grave_bici,Mgrav_bici,Leve_bici,Ileso_bici
547,576,"LIMARI & MARIANO SANCHEZ FONTECILLA, LA REINA",355750.2743,6296548.0995,1,REGION METROPOLITANA,LA REINA,LIMARI,MARIANO SANCHEZ FONTECILLA, ,1,0,1,0,0,0
548,577,"LINARES & SANTA ROSA, LA GRANJA",348131.9576,6288877.8149,1,REGION METROPOLITANA,LA GRANJA,LINARES,SANTA ROSA, ,1,1,0,0,0,0
549,578,"LIRA & SANTA ISABEL, SANTIAGO",347660.1439,6297712.1525,1,REGION METROPOLITANA,SANTIAGO,LIRA,SANTA ISABEL, ,1,0,0,0,1,0
550,579,"LO BLANCO & FRANCISCO DE CAMARGO, SAN BERNARDO",343600.5867,6283238.5999,1,REGION METROPOLITANA,SAN BERNARDO,LO BLANCO,FRANCISCO DE CAMARGO, ,1,0,0,0,0,1
551,580,"LO BLANCO & JULIO CHAVEZ, LA PINTANA",346098.8784,6282537.4407,1,REGION METROPOLITANA,LA PINTANA,LO BLANCO,JULIO CHAVEZ, ,1,0,0,0,0,1
552,581,"LO BLANCO & LOS MORROS, SAN BERNARDO",344398.1361,6282880.8054,1,REGION METROPOLITANA,SAN BERNARDO,LO BLANCO,LOS MORROS, ,1,0,0,0,1,0
553,582,"LO BLANCO & SAN FRANCISCO, SAN BERNARDO",345649.4932,6282597.6009,1,REGION METROPOLITANA,SAN BERNARDO,LO BLANCO,SAN FRANCISCO, ,1,0,1,0,0,0
554,583,"LO CAMPINO & PEDRO RIVEROS, QUILICURA",340168.0649,6305078.9545,1,REGION METROPOLITANA,QUILICURA,LO CAMPINO,PEDRO RIVEROS, ,1,0,0,0,1,0
555,584,"LO ENCALADA & IRARRAZAVAL, NUNOA",348921.1313,6297384.0008,2,REGION METROPOLITANA,NUNOA,LO ENCALADA,IRARRAZAVAL, ,2,0,0,0,2,0
556,585,"LO MARCOLETA & PENABLANCA, QUILICURA",337272.88,6307328.4586,1,REGION METROPOLITANA,QUILICURA,LO MARCOLETA,PENABLANCA, ,1,0,0,0,0,1
557,586,"LO MARCOLETA & PUERTO DE ANTOFAGASTA, QUILICURA",337198.3204,6307325.8856,1,REGION METROPOLITANA,QUILICURA,LO MARCOLETA,PUERTO DE ANTOFAGASTA, ,1,0,0,0,1,0
558,588,"LO MARCOLETA & SANTA LUISA, QUILICURA",338360.9891,6307661.1259,1,REGION METROPOLITANA,QUILICURA,LO MARCOLETA,SANTA LUISA, ,1,0,0,0,1,0
559,589,"LO MARTINEZ & ABRAHAM LINCOLN, LA PINTANA",348200.8553,6283586.2625,1,REGION METROPOLITANA,LA PINTANA,LO MARTINEZ,ABRAHAM LINCOLN, ,1,0,1,0,0,0
560,590,"LO MARTINEZ & LOS MANZANOS, EL BOSQUE",344213.7123,6284285.6007,1,REGION METROPOLITANA,EL BOSQUE,LO MARTINEZ,LOS MANZANOS, ,1,0,0,0,1,0
561,591,"LO MARTINEZ & LOS MORROS, EL BOSQUE",344666.6201,6284119.114,1,REGION METROPOLITANA,EL BOSQUE,LO MARTINEZ,LOS MORROS, ,1,0,0,0,1,0
562,592,"LOS 3 ANTONIOS & RODRIGO DE ARAYA, MACUL",350935.4931,6295013.5997,1,REGION METROPOLITANA,MACUL,LOS 3 ANTONIOS,RODRIGO DE ARAYA, ,1,0,0,0,1,0
563,593,"LOS ALMENDROS & LOS CIRUELOS, PENALOLEN",354832.524,6291831.8204,1,REGION METROPOLITANA,PENALOLEN,LOS ALMENDROS,LOS CIRUELOS, ,1,0,1,0,0,0
564,594,"LOS CARRERA & MANUEL ANTONIO MATTA, QUILICURA",338717.3365,6306981.5996,1,REGION METROPOLITANA,QUILICURA,LOS CARRERA,MANUEL ANTONIO MATTA, ,1,0,0,0,0,1
565,595,"LOS CONQUISTADORES & EL CERRO, PROVIDENCIA",349083.2178,6300465.4996,1,REGION METROPOLITANA,PROVIDENCIA,LOS CONQUISTADORES,EL CERRO, ,1,0,1,0,0,0
566,596,"LOS DIAGUITAS & DOMINGO TOCORNAL, PUENTE ALTO",355258.1694,6281000.2057,1,REGION METROPOLITANA,PUENTE ALTO,LOS DIAGONAL UITAS,DOMINGO TOCORNAL, ,1,0,0,0,1,0
