X,Y,FID,Año,Claseaccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,COd_Calle_,Calle_Dos,Número,Intersecci,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.6305979001727,-33.4522197998037,689,2017,1,13120,ÑUÑOA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131200733,VICUNA MACKENNA,131200285,IRARRAZAVAL,0,IRARRAZAVAL - VICUNA MACKENNA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.63051940015,-33.4832088996708,690,2017,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131290600,STA ROSA,131290261,ISABEL RIQUELME,0,ISABEL RIQUELME - STA ROSA,1,0,0,0,BICICLETA,1,0,0,0,1
-70.6304231663958,-33.4471169907563,691,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131230486,STA ISABEL,131230221,GRAL BUSTAMANTE,0,GRAL BUSTAMANTE - STA ISABEL,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6302623001648,-33.5634540002017,692,2017,1,13112,LA PINTANA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131120761,STA ROSA,131120253,GRAL ARRIAGADA,0,GRAL ARRIAGADA - STA ROSA,0,1,0,0,BICICLETA,0,1,0,0,1
-70.6302302995885,-33.5850558002848,693,2017,1,13112,LA PINTANA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131120402,LO BLANCO,131120761,STA ROSA,0,LO BLANCO - STA ROSA,0,1,0,0,BICICLETA,0,0,0,0,1
-70.6294064999099,-33.4470685002109,694,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131230516,VICUNA MACKENNA,131230486,STA ISABEL,0,STA ISABEL - VICUNA MACKENNA,0,0,0,1,BICICLETA,0,0,0,0,2
-70.6293459998178,-33.4335950003088,695,2017,1,13123,PROVIDENCIA,13,REGION METROPOLITANA,1,URBANA,4,ACERA O BERMA,131230489,STA MARIA,0, ,360,STA MARIA  360,0,1,0,0,BICICLETA,0,0,0,0,1
-70.6293353977103,-33.4903665435809,696,2017,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131290310,LAS INDUSTRIAS,131290012,ALC PEDRO ALARCON,0,ALC PEDRO ALARCON - LAS INDUSTRIAS,0,0,0,1,BICICLETA,0,0,0,0,1
-70.6293292778237,-33.4003230559641,697,2017,1,13127,RECOLETA,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131270248,EL SALTO,131270176,COLOMBIA,0,COLOMBIA - EL SALTO,0,0,0,0,BICICLETA,0,0,0,0,1
-70.6292573770261,-33.4927691849498,698,2017,1,13129,SAN JOAQUIN,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131290310,LAS INDUSTRIAS,131290475,PROGRESO,0,LAS INDUSTRIAS - PROGRESO,0,1,0,0,BICICLETA,0,1,0,0,1
