X,Y,FID,Año,ClaseAccid,Cód_Comun,Comuna,Cód_Regi,Región,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Fallecidos,Graves,Menos_Grav,Leves,Tipo_Usuar,FallecidoB,GraveBici,MgraveBici,LeveBici,Accidentes
-70.7123789999999,-33.487335,204,2018,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131020274,LAS HORTENSIAS, , ,900,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7118839999999,-33.458984,205,2018,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131060407,LIBER BERNARDO O`HIGGINS,131060019,AEROPUERTO,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7118679999999,-33.516693,206,2018,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131020033,AMERICO VESPUCIO,131020017,AEROPUERTO,0,0,0,0,2,BICICLETA,0,0,0,1,2
-70.711609,-33.554752,207,2018,1,13401,SAN BERNARDO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,134010459,GRAL VELASQUEZ, , ,11759,0,0,0,0,BICICLETA,0,0,0,0,1
-70.711388,-33.600292,208,2018,1,13401,SAN BERNARDO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,134010760,MAIPU,134010830,NOGALES,0,0,0,0,0,BICICLETA,0,0,0,0,1
-70.7113719999999,-33.464443,209,2018,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131060019,AEROPUERTO,131060429,LOS MAITENES,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7112429999999,-33.422989,210,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131260347,SALVADOR GUTIERREZ,131260010,ALBERDI,0,0,1,0,0,BICICLETA,0,1,0,0,1
-70.7109971,-33.4580078999999,211,2018,1,13117,LO PRADO,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131170113,ECUADOR,131170147,GEMINIS,0,0,0,0,0,BICICLETA,0,0,0,0,1
-70.710693,-33.614147,212,2018,1,13401,SAN BERNARDO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,134010457,GRAL URRUTIA,134010466,GUAFO,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7092969999999,-33.421288,213,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131260072,CATAMARCA,131260160,HOEVEL,0,0,1,0,0,BICICLETA,0,1,0,0,1
-70.7072753,-33.5194682,214,2018,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131020032,AMERICO VESPUCIO, , ,2901,0,0,0,1,BICICLETA,0,0,0,1,1
-70.707191,-33.47261,215,2018,1,13106,ESTACION CENTRAL,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131060535,PALENA,131060759,YELCHO,0,0,0,0,0,BICICLETA,0,0,0,0,1
-70.707123,-33.419819,216,2018,1,13126,QUINTA NORMAL,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131260069,CARRASCAL, , ,5650,0,1,0,0,BICICLETA,0,1,0,0,1
-70.7069040999999,-33.4494523,217,2018,1,13117,LO PRADO,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131170245,LAS REJAS NORTE,131170105,DORSAL,0,0,1,0,0,BICICLETA,0,1,0,0,1
-70.7059768999999,-33.4953611,218,2018,1,13102,CERRILLOS,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131020101,CERRILLOS,131020397,PEDRO AGUIRRE CERDA,0,0,0,1,0,BICICLETA,0,0,1,0,1
-70.705948,-33.594398,219,2018,1,13401,SAN BERNARDO,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,134010401,EYZAGUIRRE,134010282,COVADONGA,0,0,0,0,1,BICICLETA,0,0,0,1,1
-70.7054209999999,-33.369171,220,2018,1,13125,QUILICURA,13,REGION METROPOLITANA,1,URBANA,16,CRUCE SIN SEÑALIZACION,131250672,SENADOR JAIME GUZMAN,131250022,AMERICO VESPUCIO,0,0,0,1,0,BICICLETA,0,0,1,0,1
-70.704758,-33.403561,221,2018,1,13128,RENCA,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131280323,JOSE MANUEL BALMACEDA,131280097,BLANCO ENCALADA,0,0,0,0,0,BICICLETA,0,0,0,0,1
