X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-70.652579766343,-33.4950676650406,39,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131300145,LEONIDAS VIAL,131300112,GRAN AVDA JOSE MIGUEL CARRERA, ,GRAN AVDA JOSE MIGUEL CARRERA - LEONIDAS VIAL,LEONIDAS VIAL @ GRAN AVDA JOSE MIGUEL CARRERA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6523842609247,-33.4946092976808,40,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300121,ING BUDGE, ,GRAN AVDA JOSE MIGUEL CARRERA - ING BUDGE,GRAN AVDA JOSE MIGUEL CARRERA @ ING BUDGE,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-70.6520735001917,-33.1838263001435,41,1,COLINA,2016,1,13301,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,133010294,GRAL SAN MARTIN, , ,1307,- GRAL SAN MARTIN,1307 GRAL SAN MARTIN,ASFALTO,0,0,1,0,BICICLETA,PARTICULAR
-70.6520661041672,-33.4573424838684,42,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131010429,NATANIEL COX,131010143,COQUIMBO, ,COQUIMBO - NATANIEL COX,NATANIEL COX @ COQUIMBO,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6517509439507,-33.4923131684178,43,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131300248,SALESIANOS,131300112,GRAN AVDA JOSE MIGUEL CARRERA, ,GRAN AVDA JOSE MIGUEL CARRERA - SALESIANOS,SALESIANOS @ GRAN AVDA JOSE MIGUEL CARRERA,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-70.6517075993261,-33.4311515836785,44,1,INDEPENDENCIA,2016,1,13108,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131080052,ARTESANOS,131080190,LA PAZ, ,ARTESANOS - LA PAZ,ARTESANOS @ LA PAZ,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6515950275883,-33.4350497292614,45,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010560,ROSAS,131010517,PUENTE, ,PUENTE - ROSAS,ROSAS @ PUENTE,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6515320759444,-33.5252836051541,46,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131090133,ELIAS FERNANDEZ ALBANO,131090174,IQUIQUE, ,ELIAS FERNANDEZ ALBANO - IQUIQUE,ELIAS FERNANDEZ ALBANO @ IQUIQUE,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6514789853667,-33.4911685931559,47,2,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131300042,BRIGADIER DE LA CRUZ,131300112,GRAN AVDA JOSE MIGUEL CARRERA, ,BRIGADIER DE LA CRUZ - GRAN AVDA JOSE MIGUEL CARRERA,BRIGADIER DE LA CRUZ @ GRAN AVDA JOSE MIGUEL CARRERA,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6511928993327,-33.5414937060695,48,1,SAN RAMON,2016,1,13131,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131310085,CERRO NEGRO,131310252,OSSA, ,CERRO NEGRO - OSSA,CERRO NEGRO @ OSSA,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6510544001403,-33.5254606996514,49,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131090133,ELIAS FERNANDEZ ALBANO, , ,790,- ELIAS FERNANDEZ ALBANO,790 ELIAS FERNANDEZ ALBANO,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6509490571531,-33.5865939602429,50,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131120402,LO BLANCO,131120542,PEDRO PRADO, ,LO BLANCO - PEDRO PRADO,LO BLANCO @ PEDRO PRADO,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-70.6508548981349,-33.4042753506268,51,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131270233,EINSTEIN, , ,840,- EINSTEIN,840 EINSTEIN,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-70.6505224475528,-33.4202922438918,52,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131270448,LA PAZ, , ,951,- LA PAZ,951 LA PAZ,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-70.6504879999211,-33.523406100411,53,1,LA CISTERNA,2016,1,13109,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131090075,CARLOS PRIETO, , ,748,- CARLOS PRIETO,748 CARLOS PRIETO,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6503850994926,-33.4518817887134,54,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010621,STA ISABEL,131010572,SAN DIEGO, ,SAN DIEGO - STA ISABEL,STA ISABEL @ SAN DIEGO,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6502789309278,-33.4688104227627,55,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131010606,SGTO ALDEA,131010429,NATANIEL COX, ,NATANIEL COX - SGTO ALDEA,SGTO ALDEA @ NATANIEL COX,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-70.6502211189094,-33.4527531778168,56,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,4,ACERA O BERMA,131010224,EYZAGUIRRE,131010572,SAN DIEGO, ,EYZAGUIRRE - SAN DIEGO,EYZAGUIRRE @ SAN DIEGO,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6501811314539,-33.4842599193597,57,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131300098,FERNANDO LAZCANO,131300148,LLANO SUBERCASEAUX, ,FERNANDO LAZCANO - LLANO SUBERCASEAUX,FERNANDO LAZCANO @ LLANO SUBERCASEAUX,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6501333216953,-33.4861664677082,58,2,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300010,ALC PEDRO ALARCON, ,ALC PEDRO ALARCON - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ ALC PEDRO ALARCON,ASFALTO,0,1,0,1,BICICLETA,PARTICULAR
-70.6499051385112,-33.5602505107523,59,1,LA PINTANA,2016,1,13112,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131120234,FRANCISCO DE GOYA,131120256,GRAL FRANCISCO FRANCO, ,FRANCISCO DE GOYA - GRAL FRANCISCO FRANCO,FRANCISCO DE GOYA @ GRAL FRANCISCO FRANCO,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-70.6499018326033,-33.4711868129209,60,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131010429,NATANIEL COX,131010263,GRAL GANA, ,GRAL GANA - NATANIEL COX,NATANIEL COX @ GRAL GANA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6498521018929,-33.4276040855599,61,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,131270776,SALAS,131270198,DAVILA BAEZA, ,DAVILA BAEZA - SALAS,SALAS @ DAVILA BAEZA,ASFALTO,0,0,0,1,BICICLETA,CARABINEROS
-70.6498383998222,-33.4722352002941,62,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,4,ACERA O BERMA,131010429,NATANIEL COX, , ,0,- NATANIEL COX,0 NATANIEL COX,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6495809437054,-33.4569066346333,63,2,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010572,SAN DIEGO,131010143,COQUIMBO, ,COQUIMBO - SAN DIEGO,SAN DIEGO @ COQUIMBO,ASFALTO,0,1,1,0,BICICLETA,PARTICULAR
-70.6495700996802,-33.4392147000982,64,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010219,ESTADO, , ,348,- ESTADO,348 ESTADO,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6492838886404,-33.4045414771074,65,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131270233,EINSTEIN,131270625,OBPO DEL POZO, ,EINSTEIN - OBPO DEL POZO,EINSTEIN @ OBPO DEL POZO,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6492800863068,-33.4586791138499,66,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131010572,SAN DIEGO,131010009,ACONCAGUA, ,ACONCAGUA - SAN DIEGO,SAN DIEGO @ ACONCAGUA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6492026402894,-33.5104378765066,67,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131300303,VARAS MENA, , ,785,- VARAS MENA,785 VARAS MENA,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6491259416088,-33.4595820808482,68,1,SANTIAGO,2016,1,13101,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131010572,SAN DIEGO,131010385,MANUEL ANTONIO MATTA, ,MANUEL ANTONIO MATTA - SAN DIEGO,SAN DIEGO @ MANUEL ANTONIO MATTA,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
-70.6489484001484,-33.42149730036,69,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131270799,SANTOS DUMONT, , ,806,- SANTOS DUMONT,806 SANTOS DUMONT,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.6488186018968,-33.4332551213266,70,1,RECOLETA,2016,1,13127,13,REGION METROPOLITANA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131270739,RECOLETA,131270135,CARD JOSE MARIA CARO, ,CARD JOSE MARIA CARO - RECOLETA,RECOLETA @ CARD JOSE MARIA CARO,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-70.6488151718825,-33.5380353820271,71,1,SAN RAMON,2016,1,13131,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131310118,ELIAS FERNANDEZ ALBANO,131310061,BOLIVIA, ,BOLIVIA - ELIAS FERNANDEZ ALBANO,ELIAS FERNANDEZ ALBANO @ BOLIVIA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-70.648783237856,-33.481536995236,72,1,SAN MIGUEL,2016,1,13130,13,REGION METROPOLITANA,1,URBANA,26,OTROS NO CONSIDERADOS,131300112,GRAN AVDA JOSE MIGUEL CARRERA,131300041,BRAHAM ATALA, ,BRAHAM ATALA - GRAN AVDA JOSE MIGUEL CARRERA,GRAN AVDA JOSE MIGUEL CARRERA @ BRAHAM ATALA,ASFALTO,0,0,0,0,BICICLETA,PARTICULAR
