FID,ICOUNT,Comuna,Cód_Región,Región,País,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes,Falle_bici,Grave_bici,Mgrav_bici,leve_bici
547,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,SALVADOR GUTIERREZ, ,4624,SALVADOR GUTIERREZ 4624,0,0,0,1,1,0,0,0,1
548,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,CARRASCAL,EMBAJADOR GOMEZ,0,CARRASCAL / EMBAJADOR GOMEZ,0,0,0,1,1,0,0,0,1
549,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,MARIA RAMOS MEJIAS,VICTOR HUGO,0,MARIA RAMOS MEJIAS / VICTOR HUGO,0,0,0,1,1,0,0,0,1
550,1,QUINTA NORMAL,13,REGION METROPOLITANA,Chile,CARRASCAL,VICTOR HUGO,0,CARRASCAL / VICTOR HUGO,0,0,0,1,1,0,0,0,1
551,1,RENCA,13,REGION METROPOLITANA,Chile,JOSE MANUEL BALMACEDA,NICANOR FAJARDO,0,JOSE MANUEL BALMACEDA / NICANOR FAJARDO,0,0,0,1,1,0,0,0,1
552,1,RENCA,13,REGION METROPOLITANA,Chile,COSTANERA NORTE, ,4001,COSTANERA NORTE 4001,1,0,0,0,1,1,0,0,0
553,1,RENCA,13,REGION METROPOLITANA,Chile,ANGAMOS, ,1559,ANGAMOS 1559,0,0,0,1,1,0,0,0,1
554,1,RENCA,13,REGION METROPOLITANA,Chile,SENADOR JAIME GUZMAN,COSTANERA NORTE,0,SENADOR JAIME GUZMAN / COSTANERA NORTE,0,0,0,1,1,0,0,0,1
555,1,RENCA,13,REGION METROPOLITANA,Chile,SENADOR JAIME GUZMAN,CAUPOLICAN,0,SENADOR JAIME GUZMAN / CAUPOLICAN,0,0,0,1,1,0,0,0,1
556,1,RENCA,13,REGION METROPOLITANA,Chile,SENADOR JAIME GUZMAN,LOS CLARINES,0,SENADOR JAIME GUZMAN / LOS CLARINES,0,0,0,1,1,0,0,0,1
557,1,RENCA,13,REGION METROPOLITANA,Chile,APOSTOL SANTIAGO,SENADOR JAIME GUZMAN,0,APOSTOL SANTIAGO / SENADOR JAIME GUZMAN,0,0,0,1,1,0,0,0,1
558,1,RENCA,13,REGION METROPOLITANA,Chile,DOMINGO SANTA MARIA,APOSTOL SANTIAGO,0,DOMINGO SANTA MARIA / APOSTOL SANTIAGO,0,0,0,1,1,0,0,0,1
559,1,RENCA,13,REGION METROPOLITANA,Chile,PRESIDENTE EDUARDO FREI MONTALVA, ,3098,PRESIDENTE EDUARDO FREI MONTALVA 3098,0,1,0,0,1,0,1,0,0
560,1,RENCA,13,REGION METROPOLITANA,Chile,PRESIDENTE EDUARDO FREI MONTALVA,SENADOR JAIME GUZMAN,0,PRESIDENTE EDUARDO FREI MONTALVA / SENADOR JAIME GUZMAN,1,0,0,0,1,1,0,0,0
561,1,INDEPENDENCIA,13,REGION METROPOLITANA,Chile,GAMERO,FIDEL MONJE,0,GAMERO / FIDEL MONJE,0,0,0,1,1,0,0,0,1
