FID,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
135,"JOSE JOAQUIN PEREZ & DIEGO RAMIREZ, CERRO NAVIA",0,0,0,0,1
136,"REINA MAUD & NEPTUNO, LO PRADO",0,0,0,1,1
137,"NEPTUNO & TERRITORIO ANTARTICO, LO PRADO",0,0,0,1,1
138,"685 ANTUMALAL, QUILICURA",0,0,0,0,1
139,"NEPTUNO & DORSAL, LO PRADO",0,0,0,1,1
140,"LO CRUZAT & LAS TORRES, QUILICURA",0,0,0,1,1
141,"NEPTUNO & GENERAL OSCAR BONILLA, LO PRADO",0,0,0,1,1
142,"MANUEL ANTONIO MATTA & LAS TORRES, QUILICURA",0,0,0,1,1
143,"6114 JOSE JOAQUIN PEREZ, CERRO NAVIA",0,0,0,0,1
144,"1721 NEPTUNO, CERRO NAVIA",0,1,0,0,1
145,"COMANDANTE CHACON & ESPECH, QUINTA NORMAL",0,0,0,1,1
146,"NEPTUNO & SARA GAJARDO, CERRO NAVIA",0,1,0,0,2
147,"JOSE JOAQUIN PEREZ & SATURNO, QUINTA NORMAL",0,0,0,1,1
148,"MAPOCHO & ESPECH, QUINTA NORMAL",0,1,0,0,1
149,"NUNEZ DE BALBOA & MANANTIALES, QUINTA NORMAL",0,0,0,0,1
150,"1445 MERCURIO, QUINTA NORMAL",0,0,0,1,1
151,"SAMUEL IZQUIERDO & RIO BAKER, QUINTA NORMAL",0,0,0,2,1
152,"SANTA MARTA & CATEDRAL, LO PRADO",0,0,0,1,1
153,"VICUNA ROZAS & JUPITER, QUINTA NORMAL",0,0,0,1,1
154,"SAMUEL IZQUIERDO & SALVADOR GUTIERREZ, QUINTA NORMAL",0,0,0,1,1
155,"SAMUEL IZQUIERDO & PROFESOR FUENTES MATURANA, QUINTA NORMAL",0,0,0,1,1
156,"MANUEL ANTONIO MATTA & LAS PARCELAS, QUILICURA",0,0,0,1,1
157,"JOSE MANUEL BALMACEDA & IGNACIO CARRERA PINTO, RENCA",0,0,0,1,1
158,"4463 DOMINGO SANTA MARIA, RENCA",0,0,0,1,1
159,"CARRASCAL & SAMUEL IZQUIERDO, QUINTA NORMAL",0,0,0,0,1
160,"JOSE JOAQUIN PEREZ & LO AMPUERO, QUINTA NORMAL",0,0,0,1,1
161,"4469 ARTURO PRAT, RENCA",0,0,0,1,1
162,"LIBERTADOR BERNARDO O`HIGGINS & AEROPUERTO, ESTACION CENTRAL",0,1,0,0,1
163,"5857 CARRASCAL, QUINTA NORMAL",0,0,0,0,1
164,"5 DE ABRIL & AEROPUERTO, ESTACION CENTRAL",0,2,0,2,2
165,"EL QUILO & GASPAR TORO, QUINTA NORMAL",0,1,0,0,1
166,"COSTANERA NORTE & NICANOR FAJARDO, RENCA",0,0,0,1,1
167,"CARMEN LIDIA & TEGUALDA, QUINTA NORMAL",0,0,0,1,1
168,"ANGAMOS & JOSE MANUEL BALMACEDA, RENCA",0,1,0,0,1
169,"LAS REJAS NORTE & PORTALES, LO PRADO",0,0,0,1,1
170,"1744 SERGIO VALDOVINOS, QUINTA NORMAL",0,0,1,0,1
171,"MAPOCHO & SERGIO VALDOVINOS, QUINTA NORMAL",0,0,0,1,1
172,"4186 DOMINGO SANTA MARIA, RENCA",0,0,0,1,1
173,"PALENA & AYSEN, ESTACION CENTRAL",0,0,0,1,1
174,"1512 INGENIERO LLOYD, QUINTA NORMAL",0,0,0,0,1
175,"JOSE JOAQUIN PEREZ & INGENIERO LLOYD, QUINTA NORMAL",0,0,0,1,1
176,"LO ESPINOZA & LOS SAUCES, QUINTA NORMAL",0,0,0,1,1
177,"1692 ALCALDE GUZMAN, QUILICURA",0,0,0,0,1
178,"SANTA PETRONILA & CATEDRAL, QUINTA NORMAL",0,0,1,0,1
179,"5 DE ABRIL & LAS REJAS SUR, ESTACION CENTRAL",0,0,0,1,1
180,"FREIRE & MAESTRANZA, SAN BERNARDO",0,0,0,1,1
181,"980 LAS REJAS SUR, ESTACION CENTRAL",0,1,0,0,1
182,"CAUPOLICAN & BAQUEDANO, RENCA",0,0,0,1,2
183,"JOSE MANUEL BALMACEDA & SENADOR JAIME GUZMAN ERRAZURIZ, RENCA",0,0,0,1,1
184,"SALVADOR GUTIERREZ & RADAL, QUINTA NORMAL",0,0,0,2,2
185,"RADAL & NUEVA EXTREMADURA, QUINTA NORMAL",0,0,0,1,1
186,"4939 LIBERTADOR BERNARDO O`HIGGINS, ESTACION CENTRAL",0,0,0,1,1
187,"1137 RADAL, QUINTA NORMAL",0,1,0,0,1
188,"RADAL & PARAGUAY, ESTACION CENTRAL",0,0,0,1,1
189,"PORTO SEGURO & RADAL, QUINTA NORMAL",0,0,0,1,1
190,"LAS REJAS SUR & MAILEF, ESTACION CENTRAL",0,0,0,1,1
191,"1765 AYUNTAMIENTO, QUINTA NORMAL",0,0,1,0,1
192,"RADAL & CARRASCAL, QUINTA NORMAL",0,1,0,1,2
193,"3996 DOMINGO SANTA MARIA, RENCA",0,0,1,0,1
194,"SAN JOSE & QUITRALCO, ESTACION CENTRAL",0,0,0,1,1
195,"4929 CARRASCAL, QUINTA NORMAL",0,0,0,1,1
196,"EDISON & PASAJE 1, QUINTA NORMAL",0,1,0,0,1
197,"RIVERA & DOMINGO SANTA MARIA, RENCA",0,0,0,1,1
198,"4790 5 DE ABRIL, ESTACION CENTRAL",0,0,0,1,1
199,"APOSTOL SANTIAGO & SENADOR JAIME GUZMAN ERRAZURIZ, RENCA",0,0,0,1,1
200,"LOS TULIPANES & COSTA RICA, RENCA",0,0,0,1,1
201,"DOCTOR MARCELO FITTE & GONZALO BULNES, QUINTA NORMAL",0,1,0,0,1
202,"HOEVEL & ENTRE RIOS, QUINTA NORMAL",0,0,0,2,1
203,"SANTA FE & PADRE TADEO, QUINTA NORMAL",0,0,0,1,1
204,"VICTORINO LAYNEZ & SAN PABLO, QUINTA NORMAL",0,0,0,1,1
205,"CARDENAL JOSE MARIA CARO & AUTOPISTA CENTRAL, CONCHALI",0,0,0,0,1
206,"GABRIELA MISTRAL & AUGUSTO D`HALMAR, LO ESPEJO",1,0,0,0,1
207,"MARTINEZ DE ROZAS & ANTONIO EBNER, QUINTA NORMAL",0,0,0,1,1
208,"JUANA WEBER DE AMUNATEGUI & GUILLERMO FRANKE, ESTACION CENTRAL",0,1,0,0,1
209,"CARRASCAL & EMBAJADOR GOMEZ, QUINTA NORMAL",1,0,0,0,1
210,"ANDES & LADRILLERO, QUINTA NORMAL",0,0,0,1,1
211,"ECUADOR & PLACILLA, ESTACION CENTRAL",0,0,0,1,1
212,"GARCES GANA & QUELLON, EL BOSQUE",0,0,0,2,1
213,"MARTINEZ DE ROZAS & BISMARCK, QUINTA NORMAL",0,0,0,0,1
214,"FERRARI & LO ESPEJO, LO ESPEJO",1,0,0,0,1
215,"AVIADOR BLERIOT & DOCTOR CARLOS OTTOLENGHI, QUINTA NORMAL",1,0,0,0,1
216,"DOMINGO SANTA MARIA & APOSTOL SANTIAGO, RENCA",1,0,0,1,3
217,"4260 SAN PABLO, QUINTA NORMAL",0,0,0,1,1
218,"CORONEL ROBLES & VARGAS FONTECILLA, QUINTA NORMAL",0,0,0,1,1
219,"MAPOCHO & JOAQUIN WALKER MARTINEZ, QUINTA NORMAL",0,0,0,1,1
220,"PADRE VICENTE IRARRAZABAL & ANTARTICA, ESTACION CENTRAL",0,1,0,0,1
221,"4198 MAPOCHO, QUINTA NORMAL",1,0,0,0,1
222,"SANTO DOMINGO & APOSTOL SANTIAGO, QUINTA NORMAL",0,0,0,2,2
223,"APOSTOL SANTIAGO & ECUADOR, ESTACION CENTRAL",0,0,0,1,1
224,"4137 ANDES, QUINTA NORMAL",0,0,0,1,1
225,"PADRE ALBERTO HURTADO & ECUADOR, ESTACION CENTRAL",0,0,0,1,1
226,"ANDES & ALCERRECA, QUINTA NORMAL",0,0,0,1,1
227,"MAPOCHO & ALCERRECA, QUINTA NORMAL",0,0,0,1,1
228,"SANTA TERESA & PINGUINOS, ESTACION CENTRAL",0,0,0,1,1
229,"MANUEL CHACON & FERROCARRIL, ESTACION CENTRAL",0,0,0,0,1
230,"LIBERTADOR BERNARDO O`HIGGINS & PADRE ALBERTO HURTADO, ESTACION CENTRAL",0,0,0,1,1
231,"4028 SAN PABLO, QUINTA NORMAL",0,1,0,0,1
232,"CENTRAL CARDENAL SILVA HENRIQUEZ & 5 NORTE, LO ESPEJO",0,0,0,1,2
233,"MAPOCHO & LOPE DE ULLOA, QUINTA NORMAL",0,0,0,1,1
234,"LAS BANDURRIAS & FLAMENCOS, HUECHURABA",0,0,0,0,1
235,"PEDRO AGUIRRE CERDA & MANUEL CHACON, CERRILLOS",0,2,0,1,2
236,"LIBERTADOR BERNARDO O`HIGGINS & RUIZ TAGLE, ESTACION CENTRAL",0,0,0,1,1
237,"LOURDES & MARTINEZ DE ROZAS, QUINTA NORMAL",0,0,0,1,1
238,"SENADOR JAIME GUZMAN ERRAZURIZ & CAMINO LO RUIZ, RENCA",0,1,0,1,1
239,"12784 GRAN AVENIDA JOSE MIGUEL CARRERA, EL BOSQUE",0,0,0,1,1
240,"SANTA ANITA & PRESIDENTE SALVADOR ALLENDE, LO ESPEJO",0,0,0,0,1
241,"JAVIERA CARRERA & EL PILLAN, EL BOSQUE",0,0,0,1,1
